country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
Spain,"Rubber, cured meat and herbal berry aromas feed into a tomatoey palate with raw acidity and rough tannins. This features gritty flavors of berry and raisin, while the finish is a bit flat in feel and tastes of prune and stalky, roasted berries. Unlike many Ribera wines, this is earthy and not overly ripe. Drink through 2017.",24 Meses en Barrica,88,42.0,Northern Spain,Ribera del Duero,,Michael Schachner,@wineschach,Monteabellón 2008 24 Meses en Barrica  (Ribera del Duero),Tempranillo,Monteabellón
US,"Hints of bergamot add a musky elegance to tropical notes of sweet melon and tangerine in this beautifully perfumed Riesling. There's a sugariness on the midpalate, but the finish is clean and brisk, with a shower of pink grapefruit acidity.",Love,86,15.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Inspire Moore 2010 Love Riesling (Finger Lakes),Riesling,Inspire Moore
Portugal,This is a wine that's made to be enjoyed young. It is fresh and fruity with a high proportion of Aragon (a.k.a. Tempranillo) giving a sophisticated touch of dusty tannins and red berry fruit. The wine is ripe and ready to drink.,Portas da Herdade,87,17.0,Alentejano,,,Roger Voss,@vossroger,Companhia das Quintas 2014 Portas da Herdade Red (Alentejano),Portuguese Red,Companhia das Quintas
Chile,"Hailing from coastal Leyda, this wine has a bouquet that comes with an oceanic edge, plus grass and green fruit aromas. The palate is crisp and lively, with good acidity bolstering citrus, lychee, melon and grass flavors. The finish is cleansing.",Reserva,87,12.0,Leyda Valley,,,Michael Schachner,@wineschach,Santa Carolina 2012 Reserva Sauvignon Blanc (Leyda Valley),Sauvignon Blanc,Santa Carolina
South Africa,"Smells slightly reduced but enticing nonetheless with aromas of kirsch, melted milk chocolate and balsamic drizzled stewed strawberries. Accents of sweet cigar spice and vanilla keep things simultaneously interesting and hedonistic in the very round and lush mouth, leading through to the long oak-driven finish.",,88,15.0,Robertson,,,Lauren Buzzeo,@laurbuzz,DuVon 2008 Shiraz (Robertson),Shiraz,DuVon
US,"A Russian River interpretation of a Rhône blend, this is made from Viognier, Marsanne and Roussanne. It's dry and marked by zesty acidity and just a hint of oak. The pineapple, lime, pear, peach and white pepper flavors are rich. This is a genuinely food-friendly wine.",3 Divas,89,25.0,California,Russian River Valley,Sonoma,,,Montemaggiore 2011 3 Divas White (Russian River Valley),Rhône-style White Blend,Montemaggiore
US,"This opens immediately into a lush, varied, flavorful wine that's broadly fruity and generously endowed with toasty oak highlights. It's drinking beautifully already, but is also nicely structured for aging through 2022.",Bradshaw Vineyard,91,40.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,J. Scott Cellars 2013 Bradshaw Vineyard Pinot Noir (Willamette Valley),Pinot Noir,J. Scott Cellars
France,"For a wine from the 2011 vintage, this ripe wine has plenty of weight. It's in the fruity, fresh spectrum but this is sustained by a young, solid and tannic core. Full of red fruits and sweet final acidity, it's for medium-term aging.",Les Hauts Jarrons Premier Cru,90,82.0,Burgundy,Savigny-lès-Beaune,,Roger Voss,@vossroger,Domaine de Bellene 2011 Les Hauts Jarrons Premier Cru  (Savigny-lès-Beaune),Pinot Noir,Domaine de Bellene
Austria,"A complex blend that moves this wine into an international style. The wine is smooth, generous, almost opulent. It emphasizes rich red plum flavors, rounded out with jelly sweetness, the acidity coming with the a final burst of freshness. Unlike some of Heinrich's other reds, which need aging, this is ready to drink now.",Terra O.,89,49.0,Mittelburgenland,,,Roger Voss,@vossroger,Johann Heinrich 2006 Terra O. Red (Mittelburgenland),Red Blend,Johann Heinrich
US,"Savory bramble and crushed-mineral tones lend complexity to ripe flavors of blueberry and plum on the palate of this wine. Medium bodied in style, it's balanced by a streak of cranberry acidity on the midpalate and rigid, fine-grained tannins.",,88,35.0,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Bedell 2013 Merlot (North Fork of Long Island),Merlot,Bedell
Austria,"Rounded flavors of ripe, red apple play about the palate and make for very appetizing if light-bodied drinking. Refreshment is the key factor, as is fruity exuberance. Drink soon.",Classic,88,12.0,Burgenland,,,Anne Krebiehl MW,@AnneInVino,Münzenrieder 2014 Classic Grüner Veltliner (Burgenland),Grüner Veltliner,Münzenrieder
France,"Notes of crushed stone and restrained melon fruit combine in this medium-bodied rosé. It's a pleasant quaff, with a clean but abbreviated finish.",La Châsse Prestige,85,13.0,Rhône Valley,Côtes du Rhône,,Joe Czerwinski,@JoeCz,Gabriel Meffre 2015 La Châsse Prestige Rosé (Côtes du Rhône),Rosé,Gabriel Meffre
Italy,"Engaging aromas of wild berry, new leather, tilled earth and clove slowly take shape in the glass. On the savory medium-bodied palate, bracing but noble tannins underscore a black-cherry core while notes of black olive, anise, Mediterranean herb and earthy game provide the backdrop. It's loaded with personality. Drink 2018–2028.",Caselle,91,,Southern Italy,Aglianico del Vulture,,Kerin O’Keefe,@kerinokeefe,D'Angelo 2010 Caselle  (Aglianico del Vulture),Aglianico,D'Angelo
Argentina,"Peach-pit and stone-fruit aromas are dry and a touch bitter. Because this is so young, it's juicy and minerally in its current state, with citric acidity in the driver's seat. Nectarine and tangerine flavors finish fresh but simple.",Trumpeter,87,11.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Rutini 2016 Trumpeter Torrontés (Mendoza),Torrontés,Rutini
US,"A well-balanced and focused wine, this is not big in structure but has tasty fruit flavors, a good crisp mouthfeel and moderate tannins for grip. The wine won't soon get tiring, and will make a good, versatile pairing with food.",Soulajule,89,59.0,California,Marin County,North Coast,Jim Gordon,@gordone_cellars,Hibou 2014 Soulajule Pinot Noir (Marin County),Pinot Noir,Hibou
US,"This has a candied cherry color, vivid strawberry and cotton candy aromas, and on first sip a freshness that's almost startling. On second sip it's more like a light red wine, delicate, medium-bodied, very fruity but easy on the palate.",Organic Grapes,87,-17.0,California,Sierra Foothills,Sierra Foothills,Jim Gordon,@gordone_cellars,Chacewater 2014 Organic Grapes Rosé (Sierra Foothills),Rosé,Chacewater
Austria,"This has a fine, dense texture, with wood influence that's carefully balanced by the solid tannins. It offers big, bold fruit flavors, with the structure for long-term aging. The finish is smooth and rich.",Terra O.,92,,Burgenland,,,Roger Voss,@vossroger,Johann Heinrich 2009 Terra O. Red (Burgenland),Austrian Red Blend,Johann Heinrich
Italy,"A taut, citrusy and minerally wine from a grape variety that's often more open and fruity, this offering is nonetheless impeccably fresh and clean, picking up some minty notes on the finish.",,87,16.0,Northeastern Italy,Friuli Aquileia,,Joe Czerwinski,@JoeCz,Merk 2001 Tocai (Friuli Aquileia),Tocai,Merk
Italy,"Despite the difficult vintage, this is a fantastic wine. It opens with bright, bold aromas of ripe fruit, blackberry, tobacco, cedar, licorice and dried rosemary. There's a pleasurable touch of chocolate fudge that backs the smooth, rich tannins. This wine should last long in your cellar.",Liste,93,86.0,Piedmont,Barolo,,,,Damilano 2008 Liste  (Barolo),Nebbiolo,Damilano
US,"Principally Pinot Noir, the blend includes 25% Pinot Meunier and a splash of Chardonnay. It's a light and pretty salmon pink in hue, with hints of honeysuckle and moist earth in the nose. Flavors suggest tart raspberries and Bing cherries, with impressive minerality in the crisp, lingering finish.",Brut Rosé,91,50.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Argyle 2011 Brut Rosé Sparkling (Willamette Valley),Sparkling Blend,Argyle
France,"Very pale in color, this is a light wine with only hints of fruit. The acidity and the crisp texture are there with just touches of soft red berry fruits. Drink now.",,84,,Provence,Côtes de Provence,,Roger Voss,@vossroger,Domaine Escaravatiers 2016 Rosé (Côtes de Provence),Rosé,Domaine Escaravatiers
US,"Whatever the blend is on this red wine, and winemaker Heidi Barrett isn't saying, it's really interesting. The bottle is old-fashioned and stubby, like something from the 1700s. The wine itself is immediately likeable for its spicy array of spices and berries. Despite its upfront appeal, there's a complexity that elevates it.",Pirate TreasuRed,92,60.0,California,Napa Valley,Napa,,,La Sirena 2009 Pirate TreasuRed Red (Napa Valley),Red Blend,La Sirena
US,"Young and vibrant, this is the winery's smaller production from a special selection of barrels. A soft, burly expression of strawberry, raspberry and ripe boysenberry, it is accentuated by generous portions of toasty oak and baking spices, a faint hint of dried herb on the finish.",Precioso,90,75.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Keller Estate 2012 Precioso Pinot Noir (Sonoma Coast),Pinot Noir,Keller Estate
Argentina,"Jammy blackberry aromas come with a hint of brine and a rubbery note of latex. This is big and tannic on the palate, but also a touch clumsy. Stewed black-fruit flavors run short, while minty oak, grapy berry and toasty spice flavors drive the finish. Drink through 2020.",Altitud,90,26.0,Mendoza Province,Tupungato,,Michael Schachner,@wineschach,Andeluna 2013 Altitud Malbec (Tupungato),Malbec,Andeluna
Chile,"This Syrah-led blend (with Carignan) hails from old vineyards in Maule. Leather, rubber, compost and earthy cherry aromas set up a palate with laser-beam acidity and shearing crispness. Flavors of red fruits, spice and herbal notes finish oaky and a bit raw, but exceedingly fresh. Drink through 2018.",Parinacota Limited Edition,88,30.0,Maule Valley,,,Michael Schachner,@wineschach,Bodega Volcanes de Chile 2010 Parinacota Limited Edition Red (Maule Valley),Red Blend,Bodega Volcanes de Chile
US,"The barrel time in neutral French oak has softened and polished the edges of this wine. Flavors of green banana and apple carry some grace notes of marshmallow and coconut. It's an interesting, smooth and tasty effort.",Reserve Barrel Fermented,89,,Oregon,Columbia Gorge (OR),Oregon Other,Paul Gregutt,@paulgwine ,Phelps Creek 2015 Reserve Barrel Fermented Pinot Gris (Columbia Gorge (OR)),Pinot Gris,Phelps Creek
Argentina,"Apple and white fruit aromas set up a balanced, reasonably full palate, with banana, creamy oak, vanilla and apple flavors. It feels solid and round, with a clean finish.",Elsa,84,10.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Valentin Bianchi 2011 Elsa Chardonnay (Mendoza),Chardonnay,Valentin Bianchi
US,"There's lots to admire in this well-ripened, elegant dinner wine. It has aromas of green olives, white chocolate, and plums, with a waft of smoky oak, while the flavors are spicy and fruity. Bone-dry, it's richly tannic and complex, with depth and interest.",,92,26.0,California,Stags Leap District,Napa,,,Steltzner 1999 Merlot (Stags Leap District),Merlot,Steltzner
Italy,"This refreshing wine is redolent of stone fruit, citrus and tangerine skin. It's an easy, food-friendly effort.",Stellato,87,30.0,Sicily & Sardinia,Vermentino di Sardegna,,,,Pala 2010 Stellato  (Vermentino di Sardegna),Vermentino,Pala
Chile,"The first-ever commercial rosé from this producer is dull in color, with briny, pepper aromas. The palate on this Syrah-based wine is chunky and generic in feel, while salty flavors of apple skins and citrus finish salty.",Reserva Syrah,85,13.0,Leyda Valley,,,Michael Schachner,@wineschach,Casas del Bosque 2014 Reserva Syrah Rosé (Leyda Valley),Rosé,Casas del Bosque
France,"Light, bright and with lively acidity, this is already a juicy, delicious wine. It offers good fruitiness, with pink grapefruit flavors and a tangy, zesty aftertaste. Drink now.",,88,10.0,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château Merlet 2016  Bordeaux Blanc,Bordeaux-style White Blend,Château Merlet
US,"X is for extra dry, and this is, made from 74% Pinot Noir, the remainder Chardonnay. It jumps out of the glass in an explosion of nutty, salty lemon peel, dry as a bone and rewarding in its full embrace of minerality. This sparkler begs for oysters and a skiff out to sea.",Brut X,94,50.0,California,Green Valley,Sonoma,Virginie Boone,@vboone,Iron Horse 2011 Brut X Sparkling (Green Valley),Sparkling Blend,Iron Horse
Italy,"The aromas are subtle, but the palate is more expressive, with green apple, white peach and lemon zest taking the lead. Crisp acidity gives this a clean, refreshing finish. Sip as an apéritif or enjoy it with starters and lightly seasoned pasta dishes.",,88,25.0,Northeastern Italy,Collio,,Kerin O’Keefe,@kerinokeefe,Livio Felluga 2013 Pinot Grigio (Collio),Pinot Grigio,Livio Felluga
US,"Cedar and cigar box are most prominent on the nose, followed by hints of blackberry and currant. The palate boasts cigar box, leather and raw oak with more currant and pomegranate offering levity. Medium tannins lend structure and carry through to the cedar flecked finish.",,88,17.0,Colorado,Grand Valley,,Fiona Adams,@bkfiona,Kingman 2013 Cabernet Sauvignon (Grand Valley),Cabernet Sauvignon,Kingman
US,"Named for the producer's farmhouse and its surrounding vineyard, this offers rich cherry cordial and weedy sage notes—a seamless mix of fruit and earth. Sage, cardamom and spicy white pepper flavors give it intrigue and complexity, wrapped in a thick, velvety texture.",Anne Katherina Vineyard Farmhouse Estate Farmed,91,90.0,California,Sonoma Valley,Sonoma,Virginie Boone,@vboone,Blue Farm 2014 Anne Katherina Vineyard Farmhouse Estate Farmed Pinot Noir (Sonoma Valley),Pinot Noir,Blue Farm
